Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,  -   ," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.00%,  -   ,  -   
AIR PRODUCTS & CHEMICALS INC,  -   ," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.00%,  -   ,  -   
ALLIANT ENERGY CORP,  -   ," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.00%,  -   ,  -   
ALTAGAS LTD,"  1,781,691.00 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.25%,"  4,955.39 ","  40,007.35 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  1,365,478.00 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.32%,"  80,152.39 ","  148,999.18 "
AMERICAN ELECTRIC POWER,"  2,023,063.00 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.21%,"  110,016.42 ","  199,287.44 "
ARC RESOURCES LTD,  -   ," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.00%,  -   ,  -   
ATCO LTD -CLASS I,  -   ," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.00%,  -   ,  -   
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
