Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CQP,CHENIERE ENERGY PARTNERS LP,PARTNERSHIP SHARES,16411Q101,"5,398,074",33%,"101,620,376",,
TA.TO,TRANSALTA CORP,COMMON STOCK,89346D107,"502,655",3.0%,"35,523,345",,
LNG,Cheniere Energy Inc,COMMON,16411R208,"417,635",2.5%,"1,943,667",,
ET,Energy Transfer LP,COM UT,29273V100,"269,370",1.6%,"13,750,386",,
WMB,Williams Cos Inc/The,COM,969457100,"244,401",1.5%,"4,515,914",,
XEL,Xcel Energy Inc,COM,98389B100,"189,222",1.1%,"2,802,467",,
CNP,CenterPoint Energy Inc,COM,15189T107,"164,349",1.0%,"5,179,639",,
EPD,Enterprise Products Partners LP,COM,293792107,"143,322",0.9%,"4,570,224",,
SRE,Sempra,COM,816851109,"138,484",0.8%,"1,578,711",,
NI,NiSource Inc,COM,65473P105,"92,427",0.6%,"2,514,363",,
TRP.TO,TC Energy Corp,COM,87807B107,"87,949",0.5%,"1,890,168",,
DUK,Duke Energy Corp,COM NEW,26441C204,"84,672",0.5%,"785,901",,
CMS,CMS Energy Corp,COM,125896100,"75,102",0.5%,"1,126,816",,
KMI,Kinder Morgan Inc,COM,49456B101,"70,900",0.4%,"2,587,605",,
OKE,ONEOK Inc,COM,682680103,"58,478",0.4%,"582,457",,
ENLC,EnLink Midstream LLC,COM UNIT,29336T100,"43,794",0.3%,"3,094,994",,
CSX,CSX Corp,COM,126408103,"43,173",0.3%,"1,337,893",,
NEE,NextEra Energy Inc,COM,65339F101,"40,194",0.2%,"560,666",,
PPL,PPL Corp,COM,69351T106,"23,452",0.1%,"722,514",,
WMB,The Williams Companies Inc,COM,969457100,"17,514",0.1%,"323,632",,
AEP,American Electric Power Co Inc,COM,025537101,"4,202",0.0%,"45,568",,
ENB.TO,Enbridge Inc,COM,29250N105,"3,496",0.0%,"82,402",,
CIVI,CIVITAS RESOURCES INC,COMMON STOCK,17888H103,"1,012",0.0%,"22,080",,
PPL.TO,Pembina Pipeline Corp,COM,706327103,550,0.0%,"14,894",,
EQT,EQT Corp,COM,26884L109,312,0.0%,"6,769",,
