Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
BIPC,BROOKFIELD INFRASTRUCTURE CORP,COMMON STOCK,11275Q107,"459,091",2.6%,"13,012,789",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"208,649",1.2%,"1,222,247",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"188,871",1.1%,"13,686,322",,
WMB,WILLIAMS COS INC,COM,969457100,"183,643",1.0%,"5,272,555",,
MPLX,MPLX LP,COM UNIT REP LTD,55336V100,"162,068",0.9%,"4,413,643",,
TRGP,TARGA RES CORP,COM,87612G101,"149,633",0.9%,"1,722,503",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"126,112",0.7%,"4,786,068",,
OKE,ONEOK INC NEW,COM,682680103,"119,747",0.7%,"1,705,321",,
PAA,PLAINS ALL AMERN PIPELINE L,UNIT LTD PARTN,726503105,"89,721",0.5%,"5,922,187",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"50,234",0.3%,"2,847,779",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"31,872",0.2%,"925,985",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"30,618",0.2%,"783,271",,
ENB.TO,ENBRIDGE INC,COM,29250N105,424,0.0%,"11,792",,
MPLX,MPLX LP,COMMON STOCK,55336V100,67,0.0%,"1,848",,
ET,ENERGY TRANSFER LP,COMMON STOCK,29273V100,65,0.0%,"4,768",,
EPD,ENTERPRISE PRODUCTS PARTNERS,COMMON STOCK,293792107,64,0.0%,"2,435",,
